Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
D6RGI3;D6RER5;Q9NVA2;Q9NVA2-2;D6RDU5;H0Y961;H0Y9G8;D6RDP1;D6R9Y6	D6RGI3;D6RER5;Q9NVA2;Q9NVA2-2;D6RDU5	24;24;24;22;17;9;5;5;5	14;14;14;12;7;5;5;4;4	14;14;14;12;7;5;5;4;4	Septin-11	SEPT11	9	24	14	14
D6REX3;O94979-4;O94979;O94979-8;O94979-2;O94979-10;O94979-3;O94979-6;O94979-9;D6RHZ5;O94979-7;H7BXG7;O94979-5;H0Y9T9;H0YAB3;H0Y8W8;H0YAF5;H0Y8V7;D6RE64;D6RCQ9;H0Y9V3;D6RHE8;D6RBT0;E9PKR7;Q9NQW1-2;Q9NQW1;Q9NQW1-5;Q9NQW1-4;H0Y9K1	D6REX3;O94979-4;O94979;O94979-8;O94979-2;O94979-10;O94979-3;O94979-6;O94979-9;D6RHZ5;O94979-7;H7BXG7;O94979-5	22;22;22;21;21;21;21;21;21;16;14;14;13;7;6;5;4;2;2;2;2;1;1;1;1;1;1;1;1	22;22;22;21;21;21;21;21;21;16;14;14;13;7;6;5;4;2;2;2;2;1;1;1;1;1;1;1;1	22;22;22;21;21;21;21;21;21;16;14;14;13;7;6;5;4;2;2;2;2;1;1;1;1;1;1;1;1	Protein transport protein Sec31A	SEC31A	29	22	22	22
Q9P2W9;D6RF48;D6RC71	Q9P2W9;D6RF48	7;7;3	7;7;3	7;7;3	Syntaxin-18	STX18	3	7	7	7
D6RIE3;D6RGV5;H0UI06;P14406	D6RIE3;D6RGV5;H0UI06;P14406	1;1;1;1	1;1;1;1	1;1;1;1	Cytochrome c oxidase subunit 7A2, mitochondrial	COX7A2	4	1	1	1
D6RJ07;Q9UL40-3;Q9UL40;Q9UL40-2;B7Z4J8;B7Z4N4;B7Z6B6;B7Z6Q2	D6RJ07;Q9UL40-3;Q9UL40;Q9UL40-2;B7Z4J8	3;3;3;3;2;1;1;1	3;3;3;3;2;1;1;1	3;3;3;3;2;1;1;1	Zinc finger protein 346	ZNF346	8	3	3	3
D6RJC2;P30307-2;P30307;D6RD20;A0A3B3IT42;P30307-4;P30307-3;H0Y999	D6RJC2;P30307-2;P30307;D6RD20;A0A3B3IT42;P30307-4;P30307-3	3;3;3;2;2;2;2;1	3;3;3;2;2;2;2;1	3;3;3;2;2;2;2;1	M-phase inducer phosphatase 3	CDC25C	8	3	3	3
D6W601;Q96EY9	D6W601;Q96EY9	6;6	6;6	6;6	Probable inactive tRNA-specific adenosine deaminase-like protein 3	ADAT3	2	6	6	6
E2QRE5;Q9Y228-2;Q9Y228;C9JBA0;B1AJU2;Q9Y228-3;C9J0C0	E2QRE5;Q9Y228-2;Q9Y228;C9JBA0;B1AJU2;Q9Y228-3	5;5;5;3;3;3;1	5;5;5;3;3;3;1	5;5;5;3;3;3;1	TRAF3-interacting JNK-activating modulator	TRAF3IP3	7	5	5	5
E2QRF9;O75496;C9K0U5;H7C608	E2QRF9;O75496;C9K0U5;H7C608	4;4;3;3	4;4;3;3	4;4;3;3	Geminin	GMNN	4	4	4	4
H0YCY5;E9PNY0;E9PM53;E5KP25;Q9UIF7-6;Q9UIF7-5;Q9UIF7-4;Q9UIF7-3;Q9UIF7-2;Q9UIF7	H0YCY5;E9PNY0;E9PM53;E5KP25;Q9UIF7-6;Q9UIF7-5;Q9UIF7-4;Q9UIF7-3;Q9UIF7-2;Q9UIF7	2;2;2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2;2;2	A/G-specific adenine DNA glycosylase	MUTYH	10	2	2	2
E5RK53;E5RGP8;E5RJY3;E5RFU0;E5RHK9;E5RFC6;E5RK51;E5RIJ5;E5RGY9;E9PDG8;O60641-2;O60641-3;O60641-4;O60641	E5RK53;E5RGP8;E5RJY3;E5RFU0;E5RHK9;E5RFC6;E5RK51;E5RIJ5;E5RGY9;E9PDG8;O60641-2;O60641-3;O60641-4;O60641	1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1	Clathrin coat assembly protein AP180	SNAP91	14	1	1	1
E5RFP0;Q8WVJ2	E5RFP0;Q8WVJ2	3;3	3;3	3;3	NudC domain-containing protein 2	NUDCD2	2	3	3	3
E5RFU2;P34913;E5RFH6;E5RI53;H0YAW7;P34913-3;P34913-2	E5RFU2;P34913;E5RFH6;E5RI53;H0YAW7;P34913-3;P34913-2	7;7;6;4;4;4;4	7;7;6;4;4;4;4	7;7;6;4;4;4;4	Bifunctional epoxide hydrolase 2;Cytosolic epoxide hydrolase 2;Lipid-phosphate phosphatase	EPHX2	7	7	7	7
E5RG13;E5RIP7;H0YBL1;P29218;P29218-3;E5RI82;E5RGY4;P29218-2	E5RG13;E5RIP7;H0YBL1;P29218;P29218-3;E5RI82;E5RGY4;P29218-2	2;2;2;2;2;1;1;1	2;2;2;2;2;1;1;1	2;2;2;2;2;1;1;1	Inositol monophosphatase 1	IMPA1	8	2	2	2
E5RGN3;E5RIM7;O00244	E5RGN3;E5RIM7;O00244	4;4;4	4;4;4	4;4;4	Copper transport protein ATOX1	ATOX1	3	4	4	4
E5RGQ3;Q9H446-2;Q9H446	E5RGQ3;Q9H446-2;Q9H446	4;4;4	4;4;4	4;4;4	RWD domain-containing protein 1	RWDD1	3	4	4	4
E5RGS9;Q9NRG0	E5RGS9;Q9NRG0	3;2	3;2	3;2	Chromatin accessibility complex protein 1	CHRAC1	2	3	3	3
E5RGX5;Q93045;Q93045-2	E5RGX5;Q93045;Q93045-2	6;6;6	2;2;2	2;2;2	Stathmin;Stathmin-2	STMN2	3	6	2	2
E5RHG8;Q15369;Q15369-2;R4GMY8	E5RHG8;Q15369;Q15369-2;R4GMY8	10;10;8;5	10;10;8;5	10;10;8;5	Transcription elongation factor B polypeptide 1	TCEB1	4	10	10	10
E5RHX8;Q9NPA8-2;Q9NPA8;J3KNT2;E5RI00;E5RHT9;E5RJ84	E5RHX8;Q9NPA8-2;Q9NPA8;J3KNT2;E5RI00;E5RHT9;E5RJ84	2;2;2;1;1;1;1	2;2;2;1;1;1;1	2;2;2;1;1;1;1	Transcription and mRNA export factor ENY2	ENY2	7	2	2	2
E5RI99;P62888;A0A0B4J213;E5RJH3;A0A0C4DH44	E5RI99;P62888	9;9;3;3;2	9;9;3;3;2	9;9;3;3;2	60S ribosomal protein L30	RPL30	5	9	9	9
E5RIF2;Q9Y6D6;E5RHL7;E5RHZ1	E5RIF2;Q9Y6D6;E5RHL7	7;7;5;1	7;7;5;1	6;6;5;1	Brefeldin A-inhibited guanine nucleotide-exchange protein 1	ARFGEF1	4	7	7	6
Q6NXR4;E5RIH5;E5RHM7	Q6NXR4;E5RIH5	4;4;1	4;4;1	4;4;1	TELO2-interacting protein 2	TTI2	3	4	4	4
E5RIJ0;E7EW18;P06746;H0YBJ0;E9PIC6	E5RIJ0;E7EW18;P06746;H0YBJ0	3;3;3;2;1	3;3;3;2;1	3;3;3;2;1	DNA polymerase beta	POLB	5	3	3	3
E5RJ36;Q14CS0;E5RGJ4;H0YAX6	E5RJ36;Q14CS0;E5RGJ4;H0YAX6	2;2;1;1	2;2;1;1	2;2;1;1	UBX domain-containing protein 2B	UBXN2B	4	2	2	2
E5RJY1;E7ESM1;Q92597-3;Q92597-2;Q92597	E5RJY1;E7ESM1;Q92597-3;Q92597-2;Q92597	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	Protein NDRG1	NDRG1	5	2	2	2
Q7L5N1;E7EM64;H7C3T0	Q7L5N1;E7EM64	11;11;2	11;11;2	11;11;2	COP9 signalosome complex subunit 6	COPS6	3	11	11	11
E7EMA9;Q32M88;Q32M88-2;H0YCL6;H3BM00;B8ZZ60	E7EMA9;Q32M88;Q32M88-2;H0YCL6	6;6;5;3;1;1	6;6;5;3;1;1	6;6;5;3;1;1	Acid trehalase-like protein 1	ATHL1	6	6	6	6
E7EMB8;Q99952-2;Q99952	E7EMB8;Q99952-2;Q99952	1;1;1	1;1;1	1;1;1	Tyrosine-protein phosphatase non-receptor type 18	PTPN18	3	1	1	1
E7EMC7;Q13501;Q13501-2;E9PFW8;C9JRJ8;E3W990;D6RBF1;C9J6J8	E7EMC7;Q13501;Q13501-2;E9PFW8	7;7;6;4;3;3;1;1	7;7;6;4;3;3;1;1	7;7;6;4;3;3;1;1	Sequestosome-1	SQSTM1	8	7	7	7
E7EMD6;O43572	E7EMD6;O43572	3;3	3;3	3;3	A-kinase anchor protein 10, mitochondrial	AKAP10	2	3	3	3
E7EMP6;Q96FZ2;D6RAI0;D6RGK7;D6RAZ3;D6R9T3	E7EMP6;Q96FZ2;D6RAI0;D6RGK7;D6RAZ3;D6R9T3	3;3;2;2;2;2	3;3;2;2;2;2	3;3;2;2;2;2	Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein	HMCES	6	3	3	3
O95819-6;E7EN19;O95819-3;H7C360;O95819-5;O95819;O95819-2;O95819-4;A0A0D9SEY1;G5E948;E7ENQ1;G3XAA2;H7C0P6;A0A0D9SG62;E7EX83;C9J840;C9J338;H7C3Z6;E7ETN6	O95819-6;E7EN19;O95819-3;H7C360;O95819-5;O95819;O95819-2;O95819-4;A0A0D9SEY1;G5E948;E7ENQ1;G3XAA2;H7C0P6;A0A0D9SG62;E7EX83;C9J840	21;21;20;20;20;20;20;20;20;20;20;20;16;15;15;15;6;3;1	21;21;20;20;20;20;20;20;20;20;20;20;16;15;15;15;6;3;1	15;15;14;14;14;14;14;14;14;14;14;14;14;13;13;13;0;3;0	Mitogen-activated protein kinase kinase kinase kinase 4	MAP4K4	19	21	21	15
E7EN86;P52747-2;P52747-3;P52747;E9PPB0;C9JRS3;E9PLN4;E9PS81;E9PMY8;E9PJF2;C9JTC5	E7EN86;P52747-2;P52747-3;P52747	8;8;8;8;1;1;1;1;1;1;1	8;8;8;8;1;1;1;1;1;1;1	5;5;5;5;1;1;1;1;1;1;1	Zinc finger protein 143	ZNF143	11	8	8	5
E9PGW7;Q5T8T7;E7EN96;Q5T8T8;Q15528-2;Q15528	E9PGW7;Q5T8T7;E7EN96;Q5T8T8;Q15528-2;Q15528	4;4;4;4;4;4	4;4;4;4;4;4	4;4;4;4;4;4	Mediator of RNA polymerase II transcription subunit 22	MED22	6	4	4	4
E7EU72;E7EVH6;E7ENR9;E7END6;P04070;P04070-2	E7EU72;E7EVH6;E7ENR9;E7END6;P04070;P04070-2	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Osteocalcin;Vitamin K-dependent protein C;Vitamin K-dependent protein C light chain;Vitamin K-dependent protein C heavy chain;Activation peptide	PROC	6	1	1	1
E7EP72;Q9UFG5;K7EK56;Q9UFG5-2	E7EP72;Q9UFG5	3;3;1;1	3;3;1;1	3;3;1;1	UPF0449 protein C19orf25	C19orf25	4	3	3	3
E7EPB3;P50914	E7EPB3;P50914	13;13	13;13	13;13	60S ribosomal protein L14	RPL14	2	13	13	13
E7EPN9;Q9Y520-4;Q9Y520-6;Q9Y520-5;Q9Y520;Q9Y520-7;Q9Y520-2;Q9Y520-3;H7C5N8;A0A2R8YET2;A0A2R8Y7F4;A0A0A0MS30;A0A2R8Y424	E7EPN9;Q9Y520-4;Q9Y520-6;Q9Y520-5;Q9Y520;Q9Y520-7;Q9Y520-2;Q9Y520-3	35;35;34;34;34;34;32;31;17;14;12;5;4	35;35;34;34;34;34;32;31;17;14;12;5;4	35;35;34;34;34;34;32;31;17;14;12;5;4	Protein PRRC2C	PRRC2C	13	35	35	35
J3KN87;E7EPP6;O14757-2;O14757-3;O14757;E9PPA5	J3KN87;E7EPP6;O14757-2;O14757-3;O14757;E9PPA5	2;2;2;2;2;1	2;2;2;2;2;1	2;2;2;2;2;1	Serine/threonine-protein kinase Chk1	CHEK1	6	2	2	2
E7EPP7;Q6ZWJ1;B5MCT9;Q6ZWJ1-2	E7EPP7;Q6ZWJ1;B5MCT9;Q6ZWJ1-2	4;4;2;2	4;4;2;2	4;4;2;2	Syntaxin-binding protein 4	STXBP4	4	4	4	4
E7EQ29;P16278-2;P16278-3;P16278;F8WF40;C9JF15;C9JWX1	E7EQ29;P16278-2;P16278-3;P16278	5;5;5;5;2;2;2	5;5;5;5;2;2;2	4;4;4;4;2;2;2	Beta-galactosidase	GLB1	7	5	5	4
E7EQ69;Q9GZZ1;C9J5D1;B0AZT5;C9J5J3;C9JZU6	E7EQ69;Q9GZZ1;C9J5D1	19;18;13;8;7;6	19;18;13;8;7;6	8;7;2;1;1;2	N-alpha-acetyltransferase 50	NAA50	6	19	19	8
E7EQB2;E7ER44;P02788-2;P02788	E7EQB2;E7ER44;P02788-2;P02788	4;4;4;4	3;3;3;3	3;3;3;3	Lactotransferrin;Lactoferricin-H;Kaliocin-1;Lactoferroxin-A;Lactoferroxin-B;Lactoferroxin-C	LTF	4	4	3	3
Q12768;E7EQI7;E5RFU6	Q12768;E7EQI7	8;8;1	8;8;1	8;8;1	WASH complex subunit strumpellin	KIAA0196	3	8	8	8
E7EQL8;Q96RT7-2;Q96RT7-3;Q96RT7	E7EQL8;Q96RT7-2;Q96RT7-3;Q96RT7	6;6;6;6	6;6;6;6	6;6;6;6	Gamma-tubulin complex component 6	TUBGCP6	4	6	6	6
E9PCM6;E7EQN5;P98171;P98171-2;C9JLA8;C9J5M2;F8WAR0;S4R352;S4R314;A0A0B4J1X7;H7C3K8;H7C2Z8	E9PCM6;E7EQN5;P98171;P98171-2;C9JLA8;C9J5M2;F8WAR0;S4R352;S4R314;A0A0B4J1X7	4;4;4;4;2;2;2;2;2;2;1;1	4;4;4;4;2;2;2;2;2;2;1;1	4;4;4;4;2;2;2;2;2;2;1;1	Rho GTPase-activating protein 4	ARHGAP4	12	4	4	4
E7EQR4;P15311	E7EQR4;P15311	67;67	49;49	45;45	Ezrin	EZR	2	67	49	45
E9PES6;E7ES08;E7EQU1;O15347	E9PES6;E7ES08;E7EQU1;O15347	6;6;6;6	6;6;6;6	6;6;6;6	High mobility group protein B3	HMGB3	4	6	6	6
E7EQZ7;Q13123;D6REL4;D6RCQ4;D6RAY9	E7EQZ7;Q13123;D6REL4	8;8;5;1;1	8;8;5;1;1	8;8;5;1;1	Protein Red	IK	5	8	8	8
Q4W8S1;E7ER26;P57071-6;P57071-5;P57071-3;P57071-2;P57071	Q4W8S1;E7ER26;P57071-6;P57071-5;P57071-3;P57071-2;P57071	3;3;3;3;3;3;3	3;3;3;3;3;3;3	3;3;3;3;3;3;3	PR domain zinc finger protein 15	ZNF298;PRDM15	7	3	3	3
J3QLA2;J3KTA6;J3KSG6;E7ER58;Q9BXW6	J3QLA2;J3KTA6;J3KSG6;E7ER58;Q9BXW6	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Oxysterol-binding protein-related protein 1	OSBPL1A	5	1	1	1
E7ERK9;Q9UI10;A0A087WW69;A0A087WTA5;Q9UI10-3;Q9UI10-2;F8W8L6;H7C2L8	E7ERK9;Q9UI10;A0A087WW69;A0A087WTA5;Q9UI10-3;Q9UI10-2;F8W8L6	12;12;11;11;11;11;9;5	12;12;11;11;11;11;9;5	12;12;11;11;11;11;9;5	Translation initiation factor eIF-2B subunit delta	EIF2B4	8	12	12	12
E7ERS3;Q86VM9;Q86VM9-2;H3BRN6;H3BRH3;H3BP01;H3BPD0	E7ERS3;Q86VM9;Q86VM9-2	8;8;6;2;2;2;1	8;8;6;2;2;2;1	8;8;6;2;2;2;1	Zinc finger CCCH domain-containing protein 18	ZC3H18	7	8	8	8
E7ESC7;Q7L5Y9-3;Q7L5Y9;Q7L5Y9-2;D6RIB6;B4DVN3;Q7L5Y9-4;B4DQT1;D6RDW4;D6REW7;Q7L5Y9-5;D6RID6;D6RE80;D6RA86;D6R8Z3	E7ESC7;Q7L5Y9-3;Q7L5Y9;Q7L5Y9-2;D6RIB6;B4DVN3;Q7L5Y9-4;B4DQT1;D6RDW4;D6REW7;Q7L5Y9-5	13;13;13;12;11;11;11;10;8;8;8;5;5;4;1	13;13;13;12;11;11;11;10;8;8;8;5;5;4;1	13;13;13;12;11;11;11;10;8;8;8;5;5;4;1	Macrophage erythroblast attacher	MAEA	15	13	13	13
E7ESL0;J3KQY1;Q9NWU5;Q9NWU5-2;Q9NWU5-3	E7ESL0;J3KQY1;Q9NWU5;Q9NWU5-2;Q9NWU5-3	2;2;2;1;1	2;2;2;1;1	2;2;2;1;1	39S ribosomal protein L22, mitochondrial	MRPL22	5	2	2	2
E7ET15;O15042-2;O15042;E7EW00;H0Y8D9;O15042-3;C9JDJ7;C9J5L1;H7C4V2;U3KPT1	E7ET15;O15042-2;O15042;E7EW00;H0Y8D9;O15042-3	10;10;10;5;5;5;3;3;2;1	10;10;10;5;5;5;3;3;2;1	10;10;10;5;5;5;3;3;2;1	U2 snRNP-associated SURP motif-containing protein	U2SURP	10	10	10	10
H0YAY0;E7EVI4;E7ET87;O75410-3;O75410-7;O75410;O75410-2;E5RFM9;R4GMT7;E5RJU4;B4E3H6;H0YBT8;O75410-8;O75410-5;O75410-4;O75410-6	H0YAY0;E7EVI4;E7ET87;O75410-3;O75410-7;O75410;O75410-2;E5RFM9;R4GMT7	5;5;5;5;5;5;5;3;3;2;2;2;2;2;2;2	5;5;5;5;5;5;5;3;3;2;2;2;2;2;2;2	5;5;5;5;5;5;5;3;3;2;2;2;2;2;2;2	Transforming acidic coiled-coil-containing protein 1	TACC1	16	5	5	5
E7ETU7;H0Y9G6;P09001;D6RC14;E9PF06	E7ETU7;H0Y9G6;P09001;D6RC14	6;5;5;3;2	6;5;5;3;2	6;5;5;3;2	39S ribosomal protein L3, mitochondrial	MRPL3	5	6	6	6
Q75MG1;E7ETZ4;Q9Y6E2;E9PFE3;C9JF98;F8WDX8;E7EMS9;Q9Y6E2-2;E9PFD4;B5MCE7;B5MCH7	Q75MG1;E7ETZ4;Q9Y6E2;E9PFE3;C9JF98;F8WDX8;E7EMS9;Q9Y6E2-2	3;3;3;2;2;2;2;2;1;1;1	3;3;3;2;2;2;2;2;1;1;1	3;3;3;2;2;2;2;2;1;1;1	Basic leucine zipper and W2 domain-containing protein 2	BZW2	11	3	3	3
E7EUY3;E9PDR0;E7EX59;P05166;P05166-2;E7ETT4;E7ETT1;C9JQS9;E9PEC3;F8WBI9;E7ENC1;H7C5C9;C9JAW3;C9JVW9;C9JVY9	E7EUY3;E9PDR0;E7EX59;P05166;P05166-2;E7ETT4;E7ETT1;C9JQS9;E9PEC3	10;10;10;10;10;9;9;9;8;4;3;2;1;1;1	10;10;10;10;10;9;9;9;8;4;3;2;1;1;1	10;10;10;10;10;9;9;9;8;4;3;2;1;1;1	Propionyl-CoA carboxylase beta chain, mitochondrial	PCCB	15	10	10	10
E7EVA0;P27816;P27816-6;P27816-2;P27816-4;B5MEG9;H0Y2V1;F8W9U4;H7C456;A0A0J9YVV8;A0A0J9YW37;P27816-7	E7EVA0;P27816;P27816-6;P27816-2	60;52;51;43;23;17;15;14;12;2;2;2	60;52;51;43;23;17;15;14;12;2;2;2	32;26;25;18;8;4;2;2;0;0;0;0	Microtubule-associated protein;Microtubule-associated protein 4	MAP4	12	60	60	32
E7EVC7;Q676U5-3;Q676U5-2;Q676U5;Q676U5-5	E7EVC7;Q676U5-3;Q676U5-2;Q676U5	3;3;3;3;1	3;3;3;3;1	3;3;3;3;1	Autophagy-related protein 16-1	ATG16L1	5	3	3	3
E7EVH3;Q92576-2;Q92576;D6R9X2;E9PE34;A0A1B0GX99;E7ER40	E7EVH3;Q92576-2;Q92576;D6R9X2;E9PE34;A0A1B0GX99;E7ER40	4;4;4;2;2;2;2	4;4;4;2;2;2;2	4;4;4;2;2;2;2	PHD finger protein 3	PHF3	7	4	4	4
H7C229;E7EVJ5;Q96F07-2;E7EW33;Q96F07;A0A087WZL7;H0YL50;A0A087WVE1;A0A087WTQ3;A0A087WWZ1;A0A087WV63;A0A0G2JRF5;A0A087WWY5	H7C229;E7EVJ5;Q96F07-2;E7EW33;Q96F07	18;18;18;17;16;3;3;2;2;2;1;1;1	5;5;5;5;5;0;0;0;0;0;0;0;0	5;5;5;5;5;0;0;0;0;0;0;0;0	Cytoplasmic FMR1-interacting protein 2	CYFIP2	13	18	5	5
E7EVX8;Q8WWY3;Q8WWY3-4;E7EU94;E7ESX0;E7EN72;Q8WWY3-3;Q8WWY3-2	E7EVX8;Q8WWY3;Q8WWY3-4	12;12;8;5;5;5;5;5	12;12;8;5;5;5;5;5	12;12;8;5;5;5;5;5	U4/U6 small nuclear ribonucleoprotein Prp31	PRPF31	8	12	12	12
E7EW05;Q9NVU7-2;Q9NVU7	E7EW05;Q9NVU7-2;Q9NVU7	8;8;8	8;8;8	8;8;8	Protein SDA1 homolog	SDAD1	3	8	8	8
E7EW32;Q7L1V2-2;Q7L1V2	E7EW32;Q7L1V2-2;Q7L1V2	1;1;1	1;1;1	1;1;1	Vacuolar fusion protein MON1 homolog B	MON1B	3	1	1	1
H0YFS7;E7EW59;Q9Y467;A9JR48;A0A087WXW6;H3BSM9;A0A140TA74;A0A140TA70;Q9BXA9-3;Q9BXA9-4;Q9NSC2-2;Q9BXA9-2;Q9BXA9;Q9NSC2	H0YFS7;E7EW59;Q9Y467;A9JR48;A0A087WXW6;H3BSM9;A0A140TA74;A0A140TA70;Q9BXA9-3;Q9BXA9-4;Q9NSC2-2;Q9BXA9-2;Q9BXA9;Q9NSC2	2;2;2;1;1;1;1;1;1;1;1;1;1;1	2;2;2;1;1;1;1;1;1;1;1;1;1;1	2;2;2;1;1;1;1;1;1;1;1;1;1;1	Sal-like protein 2;Sal-like protein 3;Sal-like protein 1	SALL2;SALL3;SALL1	14	2	2	2
H0Y3R4;E7EWN3;Q9C0A6-2;Q9C0A6-3;Q9C0A6	H0Y3R4;E7EWN3;Q9C0A6-2;Q9C0A6-3;Q9C0A6	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	SET domain-containing protein 5	SETD5	5	1	1	1
E7EX17;P23588;P23588-2;F8VX11;F8VP89;F8W0K0;F8VSC7;F8VRU1;F8VYE9	E7EX17;P23588;P23588-2;F8VX11	28;28;25;17;11;8;8;6;6	28;28;25;17;11;8;8;6;6	28;28;25;17;11;8;8;6;6	Eukaryotic translation initiation factor 4B	EIF4B	9	28	28	28
E7EX64;P36508-2;P36508	E7EX64;P36508-2;P36508	6;6;6	3;3;3	3;3;3	Zinc finger protein 76	ZNF76	3	6	3	3
E7EX70;Q9GZS1;Q9GZS1-1	E7EX70;Q9GZS1;Q9GZS1-1	5;5;3	5;5;3	5;5;3	DNA-directed RNA polymerase I subunit RPA49	POLR1E	3	5	5	5
Q14203-3;E7EX90;Q14203;Q14203-6;Q14203-4;Q14203-2;Q14203-5;Q6AWB1;E7EWF7;C9JJD0;E9PCY0;C9JJN7;C9JKG6;C9JTE5;C9JZA4;C9J1B7;C9JUI8	Q14203-3;E7EX90;Q14203;Q14203-6;Q14203-4;Q14203-2;Q14203-5;Q6AWB1	43;43;42;42;42;40;40;23;13;3;2;2;2;2;2;1;1	43;43;42;42;42;40;40;23;13;3;2;2;2;2;2;1;1	43;43;42;42;42;40;40;23;13;3;2;2;2;2;2;1;1	Dynactin subunit 1	DCTN1;DKFZp686E0752	17	43	43	43
E7EXA6;Q8WVB6;Q8WVB6-2;A0A0D9SF58;Q8WVB6-3;F8WCC1;H0Y7D3	E7EXA6;Q8WVB6;Q8WVB6-2;A0A0D9SF58;Q8WVB6-3	10;10;10;8;7;3;1	9;9;9;8;6;3;1	9;9;9;8;6;3;1	Chromosome transmission fidelity protein 18 homolog	CHTF18	7	10	9	9
H0YHX9;Q13765;E9PAV3-2;E9PAV3;F8VZJ2;F8W0W4;F8VNW4;F8W1N5;F8VZ58;O15069	H0YHX9;Q13765;E9PAV3-2;E9PAV3;F8VZJ2;F8W0W4;F8VNW4;F8W1N5	15;15;15;15;14;12;11;10;5;1	15;15;15;15;14;12;11;10;5;1	13;13;13;13;12;10;9;8;3;1	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	10	15	15	13
E9PB90;P52789;P52790;Q2TB90-3;Q2TB90-2;Q2TB90	E9PB90;P52789	24;24;2;1;1;1	24;24;2;1;1;1	22;22;0;0;0;0	Hexokinase;Hexokinase-2	HK2	6	24	24	22
E9PBG3;Q9NQ86-4;Q9NQ86	E9PBG3;Q9NQ86-4;Q9NQ86	5;5;5	5;5;5	5;5;5	E3 ubiquitin-protein ligase TRIM36	TRIM36	3	5	5	5
E9PC69;Q7KZI7-14;Q7KZI7-12;E7ETY4;Q7KZI7;Q7KZI7-8;Q7KZI7-11;Q7KZI7-6;Q7KZI7-3;Q7KZI7-16;Q7KZI7-15;Q7KZI7-13;Q7KZI7-9;Q7KZI7-10;Q7KZI7-4;Q7KZI7-5;Q7KZI7-2;Q7KZI7-7;Q9P0L2-2;Q9P0L2-3;Q9P0L2;B4DIB3;A0A087X0I6	E9PC69;Q7KZI7-14;Q7KZI7-12;E7ETY4;Q7KZI7;Q7KZI7-8;Q7KZI7-11;Q7KZI7-6;Q7KZI7-3;Q7KZI7-16;Q7KZI7-15;Q7KZI7-13;Q7KZI7-9;Q7KZI7-10;Q7KZI7-4;Q7KZI7-5;Q7KZI7-2;Q7KZI7-7	8;8;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;1;1;1;1;1	7;7;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;0;0;0;0;0	7;7;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;0;0;0;0;0	Serine/threonine-protein kinase MARK2	MARK2	23	8	7	7
E9PCD7;Q9Y2E5;H0YA68;Q9Y2E5-2	E9PCD7;Q9Y2E5;H0YA68;Q9Y2E5-2	3;3;2;2	3;3;2;2	3;3;2;2	Alpha-mannosidase;Epididymis-specific alpha-mannosidase	MAN2B2	4	3	3	3
E9PDF2;E9PCR7;Q02218-2;Q02218;E9PFG7;A0A0D9SFS3;Q02218-3;C9J4G7;Q9ULD0-3;Q9ULD0-2;Q9ULD0	E9PDF2;E9PCR7;Q02218-2;Q02218;E9PFG7;A0A0D9SFS3	20;20;20;20;17;17;4;3;3;3;3	20;20;20;20;17;17;4;3;3;3;3	20;20;20;20;17;17;4;3;3;3;3	2-oxoglutarate dehydrogenase, mitochondrial	OGDH	11	20	20	20
E9PCY5;Q02880-2;Q02880	E9PCY5;Q02880-2;Q02880	2;2;2	1;1;1	1;1;1	DNA topoisomerase 2;DNA topoisomerase 2-beta	TOP2B	3	2	1	1
P31943;G8JLB6;E9PCY7;D6RBM0;E5RGV0;E7EN40;D6RIU0;D6RIT2;D6RAM1;D6R9T0;D6RFM3;D6RDU3;D6RJ04;D6RIH9;E7EQJ0;H0YB39;D6RDL0;E5RGH4;D6RF17;D6R9D3;H0YBD7;H0YAQ2;H0YBG7;E5RJ94	P31943;G8JLB6;E9PCY7;D6RBM0;E5RGV0;E7EN40;D6RIU0;D6RIT2;D6RAM1;D6R9T0;D6RFM3;D6RDU3;D6RJ04;D6RIH9	23;23;23;18;16;14;13;13;12;12;12;12;12;12;11;11;8;7;7;6;5;4;4;4	23;23;23;18;16;14;13;13;12;12;12;12;12;12;11;11;8;7;7;6;5;4;4;4	11;11;11;10;8;8;10;11;10;10;10;10;10;10;10;1;8;2;7;6;1;2;1;4	Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed	HNRNPH1	24	23	23	11
