Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
H0YC42;H0YC44;P55327-8	H0YC42	14;5;5	14;5;5	0;0;0	NA	NA	3	14	14	0
H0YCB3;Q8N9N2-2;Q8N9N2;H0YE76;E9PM82;E9PR40;E9PKM6;H0YER2;E9PQZ6	H0YCB3;Q8N9N2-2;Q8N9N2;H0YE76;E9PM82;E9PR40	4;4;4;3;2;2;1;1;1	4;4;4;3;2;2;1;1;1	4;4;4;3;2;2;1;1;1	Activating signal cointegrator 1 complex subunit 1	ASCC1	9	4	4	4
H0YCV3;Q8TEY7-3;Q8TEY7-2;Q8TEY7	H0YCV3;Q8TEY7-3;Q8TEY7-2;Q8TEY7	1;1;1;1	1;1;1;1	1;1;1;1	Ubiquitin carboxyl-terminal hydrolase 33	USP33	4	1	1	1
H0YCX2;Q96PV7-2;Q96PV7;Q96PV7-3	H0YCX2;Q96PV7-2;Q96PV7;Q96PV7-3	2;2;2;1	2;2;2;1	2;2;2;1	Protein FAM193B	FAM193B	4	2	2	2
H0YCZ2;Q8NG31-2;Q8NG31;E9PPJ1;Q8NG31-3;Q8NG31-4	H0YCZ2;Q8NG31-2;Q8NG31;E9PPJ1;Q8NG31-3;Q8NG31-4	2;2;2;1;1;1	2;2;2;1;1;1	2;2;2;1;1;1	Protein CASC5	CASC5	6	2	2	2
H0YDQ1;H0YDD3;Q9BVK2-2;Q9BVK2	H0YDQ1;H0YDD3;Q9BVK2-2;Q9BVK2	2;2;2;2	2;2;2;2	2;2;2;2	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase	ALG8	4	2	2	2
P53041;H0YDU8;A8MU39	P53041;H0YDU8;A8MU39	28;28;18	28;28;18	28;28;18	Serine/threonine-protein phosphatase 5;Serine/threonine-protein phosphatase	PPP5C	3	28	28	28
H0YEF3;Q8TDP1;H0YCP5;E9PN81	H0YEF3;Q8TDP1;H0YCP5;E9PN81	7;7;6;6	7;7;6;6	7;7;6;6	Ribonuclease H2 subunit C	RNASEH2C	4	7	7	7
H0YEF7;H0YD48;H0YEH1;H0YE97;H0YEY8	H0YEF7;H0YD48;H0YEH1;H0YE97;H0YEY8	6;5;4;3;3	1;1;1;1;1	1;1;1;1;1	NA	PICALM	5	6	1	1
H0YEM7;O75143-4;O75143-3;O75143-2;O75143;O75143-5	H0YEM7;O75143-4;O75143-3;O75143-2;O75143;O75143-5	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Autophagy-related protein 13	ATG13	6	1	1	1
H0YF54;Q502W6-2;Q502W6-8;Q502W6;Q502W6-6	H0YF54;Q502W6-2;Q502W6-8;Q502W6;Q502W6-6	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	von Willebrand factor A domain-containing protein 3B	VWA3B	5	1	1	1
H0YFD6;P40939;A0A2R8Y4F5;A0A2R8YG21;A0A2R8Y688	H0YFD6;P40939;A0A2R8Y4F5	27;27;24;13;7	27;27;24;13;7	27;27;24;13;7	Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase	HADHA	5	27	27	27
H0YH69;Q9HBU6;Q9HBU6-2;H0YFP7	H0YH69;Q9HBU6;Q9HBU6-2	4;4;2;1	4;4;2;1	4;4;2;1	Ethanolamine kinase 1	ETNK1	4	4	4	4
H0YI02;J3KPG1;Q96QF0-8;Q96QF0-5;Q96QF0-7;Q96QF0-6;Q96QF0-3;Q96QF0-4;Q96QF0-2;Q96QF0	H0YI02;J3KPG1;Q96QF0-8;Q96QF0-5;Q96QF0-7;Q96QF0-6;Q96QF0-3;Q96QF0-4;Q96QF0-2;Q96QF0	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	Rab-3A-interacting protein	RAB3IP	10	1	1	1
H0YIV9;O43716;F8VRU3;J3KMY1	H0YIV9;O43716	8;6;3;1	8;6;3;1	6;6;3;1	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	GATC	4	8	8	6
H0YJ03	H0YJ03	4	2	2	NA	PSMA3	1	4	2	2
H0YJ10	H0YJ10	5	1	0	NA	NA	1	5	1	0
H0YJ75;Q13362-2;Q13362-3;Q13362;Q13362-4;Q13362-5;Q96B13;H0YN84;H0YJ49;G3V2U3;H0YJU0;H0YJZ3;H0YJ35	H0YJ75;Q13362-2;Q13362-3;Q13362;Q13362-4;Q13362-5;Q96B13	9;9;9;9;9;9;6;3;3;3;2;1;1	3;3;3;3;3;3;2;1;1;1;1;0;0	3;3;3;3;3;3;2;1;1;1;1;0;0	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform	PPP2R5C	13	9	3	3
H0YJA2;Q6PJT7-5;Q6PJT7-9;Q6PJT7-2;Q6PJT7;G3V5I6;G3V256;Q6PJT7-10;Q6PJT7-4;Q6PJT7-3;Q6PJT7-11;H0YJ87;G3V4R5;G3V3Y4;A0A3B3IT62;G3V411	H0YJA2;Q6PJT7-5;Q6PJT7-9;Q6PJT7-2;Q6PJT7;G3V5I6;G3V256;Q6PJT7-10;Q6PJT7-4;Q6PJT7-3;Q6PJT7-11	3;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1	3;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1	3;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1	Zinc finger CCCH domain-containing protein 14	ZC3H14	16	3	3	3
H0YMR5;H0YLR2;H0YME2;H0YK21;H0YK54;Q6FIF0-2;Q6FIF0	H0YMR5;H0YLR2;H0YME2;H0YK21;H0YK54;Q6FIF0-2;Q6FIF0	1;1;1;1;1;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	AN1-type zinc finger protein 6	ZFAND6	7	1	1	1
H0YLP6;H0YMF4;H0YKD8;P46779-4;P46779-5;P46779;P46779-2;P46779-3	H0YLP6;H0YMF4;H0YKD8;P46779-4;P46779-5;P46779;P46779-2;P46779-3	5;5;5;5;5;5;5;5	5;5;5;5;5;5;5;5	5;5;5;5;5;5;5;5	60S ribosomal protein L28	RPL28	8	5	5	5
H0YLW7;H0YMW8;H0YNF3;H0YMR6;H0YLE6;H0YL55;H7BXE3;Q9NWH9	H0YLW7;H0YMW8;H0YNF3;H0YMR6;H0YLE6;H0YL55;H7BXE3;Q9NWH9	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	SAFB-like transcription modulator	SLTM	8	1	1	1
H0YLI7;H0YLX6;H0YN38;P59780-2;P59780	H0YLI7;H0YLX6;H0YN38;P59780-2;P59780	3;2;2;2;2	2;1;1;1;1	2;1;1;1;1	AP-3 complex subunit sigma-2	AP3S2	5	3	2	2
H0YM23;O75179-7;O75179-2;O75179;O75179-6;O75179-4;O75179-3;H0YLQ3;A0A1W2PQ15;O75179-5	H0YM23;O75179-7;O75179-2;O75179;O75179-6;O75179-4;O75179-3	21;21;21;21;20;12;11;10;10;9	21;21;21;21;20;12;11;10;10;9	10;10;10;10;9;7;6;4;5;4	Ankyrin repeat domain-containing protein 17	ANKRD17	10	21	21	10
H0YMV8;Q71UM5;C9JLI6	H0YMV8;Q71UM5;C9JLI6	4;4;3	2;2;2	2;2;2	40S ribosomal protein S27;40S ribosomal protein S27-like	RPS27L	3	4	2	2
H0YN26;P39687;H7BZ09;O95626	H0YN26;P39687	14;14;5;2	14;14;5;2	10;10;5;1	Acidic leucine-rich nuclear phosphoprotein 32 family member A	ANP32A	4	14	14	10
H0YNE9;Q92930	H0YNE9;Q92930	3;3	1;1	1;1	Ras-related protein Rab-8B	RAB8B	2	3	1	1
H0YNL8;P48200-2;P48200	H0YNL8;P48200-2;P48200	1;1;1	1;1;1	1;1;1	Iron-responsive element-binding protein 2	IREB2	3	1	1	1
H0YNU5;P54132;A0A3B3IT82	H0YNU5;P54132;A0A3B3IT82	4;4;3	4;4;3	4;4;3	Bloom syndrome protein	BLM	3	4	4	4
O00470;U3KPR8;H0YNY8;O00470-2;O14770-3;F5GYS8;O14770-4;O14770-2;O14770;O14770-7;O14770-8;O14770-6;U3KQI2;O14770-5;H0YMX5;H0YMV2;A6NDR6;U3KQ95;E9PDC4;Q99687;Q99687-3;H0YKN2;H0YNA8;H0YKE5	O00470;U3KPR8;H0YNY8;O00470-2;O14770-3;F5GYS8;O14770-4;O14770-2;O14770;O14770-7;O14770-8;O14770-6;U3KQI2	5;5;5;5;4;4;4;4;4;4;4;4;3;2;2;1;1;1;1;1;1;1;1;1	5;5;5;5;4;4;4;4;4;4;4;4;3;2;2;1;1;1;1;1;1;1;1;1	4;4;4;4;3;3;3;3;3;3;3;3;2;2;2;0;0;1;1;0;0;1;0;1	Homeobox protein Meis1;Homeobox protein Meis2	MEIS1;MEIS2	24	5	5	4
H3BLU4;Q99687-2;U3KQJ9;H0YLL0	H3BLU4;Q99687-2;U3KQJ9;H0YLL0	2;2;1;1	1;1;1;1	1;1;1;1	Homeobox protein Meis3	MEIS3	4	2	1	1
H3BLV9;Q96SB4-4;Q96SB4;Q96SB4-3;D6RBF8;D6RBM8;A8MPP7;A8MPY5;E7ETV6;Q9UPE1-2;Q9UPE1-3;Q9UPE1-4;Q9UPE1;H0Y932;H7C2I2	H3BLV9;Q96SB4-4;Q96SB4;Q96SB4-3	18;18;18;18;4;3;2;2;2;2;2;2;2;1;1	18;18;18;18;4;3;2;2;2;2;2;2;2;1;1	15;15;15;15;4;2;0;0;0;0;0;0;0;1;0	SRSF protein kinase 1	SRPK1	15	18	18	15
H3BM14;H3BM74;Q9Y5A7-2;Q9Y5A7;C9JRT6;F8WDB6;C9J7X7;H7C5N1;F8WDL9;H7C5E1	H3BM14;H3BM74;Q9Y5A7-2;Q9Y5A7;C9JRT6;F8WDB6	14;14;14;14;7;7;4;4;3;1	14;14;14;14;7;7;4;4;3;1	14;14;14;14;7;7;4;4;3;1	NEDD8 ultimate buster 1	NUB1	10	14	14	14
H3BM39;H3BR76;Q8N371-2;Q8N371	H3BM39;H3BR76;Q8N371-2;Q8N371	1;1;1;1	1;1;1;1	1;1;1;1	Lysine-specific demethylase 8	KDM8	4	1	1	1
H3BMF4;Q9H2V7-3;Q9H2V7-2;Q9H2V7;H3BT44;H3BPT8;H3BPQ9;H3BR82;Q9H2V7-5;Q9H2V7-4	H3BMF4;Q9H2V7-3;Q9H2V7-2;Q9H2V7;H3BT44;H3BPT8;H3BPQ9;H3BR82;Q9H2V7-5;Q9H2V7-4	2;2;2;2;1;1;1;1;1;1	2;2;2;2;1;1;1;1;1;1	2;2;2;2;1;1;1;1;1;1	Protein spinster homolog 1	SPNS1	10	2	2	2
H3BV80;H3BMM9;H3BTC0;Q15287-3;Q15287-2;Q15287;H3BPG5;H3BMS0	H3BV80;H3BMM9;H3BTC0;Q15287-3;Q15287-2;Q15287;H3BPG5;H3BMS0	4;4;4;4;4;4;3;3	4;4;4;4;4;4;3;3	4;4;4;4;4;4;3;3	RNA-binding protein with serine-rich domain 1	RNPS1	8	4	4	4
H3BMQ2;Q9UHA3	H3BMQ2;Q9UHA3	1;1	1;1	1;1	Probable ribosome biogenesis protein RLP24	RSL24D1	2	1	1	1
H3BMW4;Q9BTX3-2;Q9BTX3	H3BMW4;Q9BTX3-2;Q9BTX3	1;1;1	1;1;1	1;1;1	Transmembrane protein 208	TMEM208	3	1	1	1
H3BN64;H3BRM1;H3BRF9;Q96K21-4;Q96K21-3;Q96K21-2;Q96K21;H3BUW6	H3BN64;H3BRM1;H3BRF9;Q96K21-4;Q96K21-3;Q96K21-2;Q96K21;H3BUW6	2;2;2;2;2;2;2;1	2;2;2;2;2;2;2;1	2;2;2;2;2;2;2;1	Abscission/NoCut checkpoint regulator	ZFYVE19	8	2	2	2
H3BN98;I3L246;H3BV27;H3BT37;I3L303;H3BPJ2;Q15041;Q15041-2;H3BTX6;H3BS91;Q15041-3	H3BN98;I3L246	8;5;3;3;3;3;3;2;1;1;1	8;5;3;3;3;3;3;2;1;1;1	3;0;0;0;0;3;3;2;1;1;1	NA	RPS15A	11	8	8	3
H3BNC0;Q9NVM4-4;Q9NVM4-3;Q9NVM4;H3BPZ8;H3BSS9;Q9NVM4-2	H3BNC0;Q9NVM4-4;Q9NVM4-3;Q9NVM4;H3BPZ8	5;5;5;5;3;1;1	5;5;5;5;3;1;1	5;5;5;5;3;1;1	Protein arginine N-methyltransferase 7	PRMT7	7	5	5	5
H3BNC9;P08708;H0YN88;A0A075B716;H0YN73	H3BNC9;P08708;H0YN88;A0A075B716	7;7;6;6;2	7;7;6;6;2	7;7;6;6;2	40S ribosomal protein S17	RPS17	5	7	7	7
H3BNT4;Q99547;H3BSB3;H3BNK8;H3BU96	H3BNT4;Q99547;H3BSB3	3;3;2;1;1	3;3;2;1;1	3;3;2;1;1	M-phase phosphoprotein 6	MPHOSPH6	5	3	3	3
H3BP20;P06865;H3BS10;H3BTD4;H3BU85;P06865-2;A0A087WUJ7;H3BRP6;A0A087WTY2;H3BVH8;H3BT62;H3BQ04	H3BP20;P06865;H3BS10	15;15;14;7;6;3;2;1;1;1;1;1	15;15;14;7;6;3;2;1;1;1;1;1	15;15;14;7;6;3;2;1;1;1;1;1	Beta-hexosaminidase;Beta-hexosaminidase subunit alpha	HEXA	12	15	15	15
H3BP28;Q99807-2;Q99807;H3BTN8;H3BSZ3	H3BP28;Q99807-2;Q99807;H3BTN8	3;3;3;2;1	3;3;3;2;1	3;3;3;2;1	5-demethoxyubiquinone hydroxylase, mitochondrial	COQ7	5	3	3	3
H3BP52;H3BTF4;Q8IWI9-3;Q8IWI9;Q8IWI9-4	H3BP52;H3BTF4;Q8IWI9-3;Q8IWI9;Q8IWI9-4	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	MAX gene-associated protein	MGA	5	1	1	1
H3BPE1;H3BQK9;Q9UPN3;Q9UPN3-2;Q9UPN3-3;Q9UPN3-4;H0Y390;Q9UPN3-5;E9PNZ4;H0Y314;E9PLY0;H0Y6T5;H0Y4F5;A0A0A6YYJ5;H0Y7I1	H3BPE1;H3BQK9;Q9UPN3;Q9UPN3-2;Q9UPN3-3;Q9UPN3-4;H0Y390;Q9UPN3-5	95;95;93;92;91;89;80;73;27;9;8;5;5;5;1	95;95;93;92;91;89;80;73;27;9;8;5;5;5;1	73;73;71;70;69;67;67;71;7;7;0;4;4;5;1	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5	MACF1	15	95	95	73
H3BT27;H3BPM0;H3BS25;Q9BY12-3;Q9BY12-2;Q9BY12	H3BT27;H3BPM0;H3BS25;Q9BY12-3;Q9BY12-2;Q9BY12	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	S phase cyclin A-associated protein in the endoplasmic reticulum	SCAPER	6	1	1	1
H3BQZ7;Q1KMD3	H3BQZ7;Q1KMD3	14;14	14;14	14;14	Heterogeneous nuclear ribonucleoprotein U-like protein 2	HNRNPUL2-BSCL2;HNRNPUL2	2	14	14	14
J3KSZ6;H3BR06;Q15554;U3KQ35;H3BTA7;V9GYM1;Q15554-4	J3KSZ6;H3BR06;Q15554;U3KQ35;H3BTA7	4;4;4;3;2;1;1	4;4;4;3;2;1;1	4;4;4;3;2;1;1	Telomeric repeat-binding factor 2	TERF2	7	4	4	4
H3BUD2;H3BS05;H3BR94;Q9BTE1-3;Q9BTE1-2;Q9BTE1	H3BUD2;H3BS05;H3BR94;Q9BTE1-3;Q9BTE1-2;Q9BTE1	2;2;2;2;2;2	2;2;2;2;2;2	2;2;2;2;2;2	Dynactin subunit 5	DCTN5	6	2	2	2
H3BRD2;P55789;H3BRW3;H3BQQ4;P55789-2	H3BRD2;P55789;H3BRW3	5;5;3;2;2	5;5;3;2;2	5;5;3;2;2	Sulfhydryl oxidase;FAD-linked sulfhydryl oxidase ALR	GFER	5	5	5	5
H3BRL0;Q9BXC9	H3BRL0;Q9BXC9	1;1	1;1	1;1	Bardet-Biedl syndrome 2 protein	BBS2	2	1	1	1
O14562;H3BRL3;H3BUM8	O14562;H3BRL3;H3BUM8	7;7;4	7;7;4	7;7;4	Ubiquitin domain-containing protein UBFD1	UBFD1	3	7	7	7
H3BS19;Q96JG9	H3BS19;Q96JG9	1;1	1;1	1;1	Zinc finger protein 469	ZNF469	2	1	1	1
H3BS42;Q9H5H4	H3BS42;Q9H5H4	8;8	8;8	8;8	Zinc finger protein 768	ZNF768	2	8	8	8
H3BSG0;Q9BSU1	H3BSG0;Q9BSU1	1;1	1;1	1;1	UPF0183 protein C16orf70	C16orf70	2	1	1	1
H3BSW6;Q2VPK5-3;Q2VPK5;Q2VPK5-5;H3BPG4	H3BSW6;Q2VPK5-3;Q2VPK5;Q2VPK5-5	5;5;5;4;1	5;5;5;4;1	5;5;5;4;1	Cytoplasmic tRNA 2-thiolation protein 2	CTU2	5	5	5	5
H3BT22;Q9Y5N6	H3BT22;Q9Y5N6	1;1	1;1	1;1	Origin recognition complex subunit 6	ORC6	2	1	1	1
H3BT57;P29590-14;P29590-10;P29590-4;P29590-12;P29590-2;P29590-5;P29590-9;P29590-13;P29590-3;P29590-8;P29590-11;P29590;H3BT29;H3BUJ5;H3BVD2	H3BT57;P29590-14;P29590-10;P29590-4;P29590-12;P29590-2;P29590-5;P29590-9;P29590-13;P29590-3;P29590-8;P29590-11;P29590;H3BT29;H3BUJ5;H3BVD2	4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2	4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2	4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2	Protein PML	PML	16	4	4	4
H3BU16;Q9H910-2;H3BMT0;H3BTV5	H3BU16;Q9H910-2;H3BMT0;H3BTV5	8;8;7;6	1;1;1;0	1;1;1;0	Hematological and neurological expressed 1-like protein	HN1L	4	8	1	1
H3BU86;O14662-6;O14662-2;O14662-4;O14662-5;O14662;F8W9Z6;B7ZBM8;Q96NX8;B7ZBM4;B7ZBM5	H3BU86;O14662-6;O14662-2;O14662-4;O14662-5;O14662;F8W9Z6;B7ZBM8;Q96NX8	4;4;4;4;4;4;3;3;2;1;1	4;4;4;4;4;4;3;3;2;1;1	4;4;4;4;4;4;3;3;2;1;1	Syntaxin-16	STX16-NPEPL1;STX16	11	4	4	4
H3BUK6	H3BUK6	4	1	1	NA	TRAPPC2L	1	4	1	1
H3BUX2;J3KNF8;O43169;D6RFH4;J3QR91	H3BUX2;J3KNF8;O43169;D6RFH4	5;5;5;4;2	5;5;5;4;2	5;5;5;4;2	Cytochrome b5 type B	CYB5B	5	5	5	5
H6UMI1;O95166;F5GZY7;Q9H0R8;Q9H0R8-2;I3L3J4	H6UMI1;O95166;F5GZY7;Q9H0R8;Q9H0R8-2	4;4;3;3;3;1	2;2;1;1;1;1	2;2;1;1;1;1	Gamma-aminobutyric acid receptor-associated protein;Gamma-aminobutyric acid receptor-associated protein-like 1	GABARAP;GABARAPL1	6	4	2	2
H7C2Z6;H7BXD5;P28676;C9JIZ3	H7C2Z6;H7BXD5;P28676;C9JIZ3	2;2;2;1	2;2;2;1	2;2;2;1	Grancalcin	GCA	4	2	2	2
H7BXH9;Q8WXB1	H7BXH9;Q8WXB1	2;2	2;2	2;2	Protein N-lysine methyltransferase METTL21A	METTL21A	2	2	2	2
Q5JRG1;H7BYF2;Q9BVL2-2;Q9BVL2-3;Q9BVL2	Q5JRG1;H7BYF2;Q9BVL2-2;Q9BVL2-3;Q9BVL2	4;4;4;4;4	4;4;4;4;4	4;4;4;4;4	Nucleoporin p58/p45	NUPL1	5	4	4	4
H7BYF7;P33947-2;P33947	H7BYF7;P33947-2;P33947	1;1;1	1;1;1	1;1;1	ER lumen protein-retaining receptor 2	KDELR2	3	1	1	1
H7BYV6;Q9NQY0-2;Q9NQY0	H7BYV6;Q9NQY0-2;Q9NQY0	1;1;1	1;1;1	1;1;1	Bridging integrator 3	BIN3	3	1	1	1
H7BYY1;F5H7S3;B7Z596;P09493-8;P09493-2;P09493-7	H7BYY1;F5H7S3;B7Z596;P09493-8;P09493-2;P09493-7	16;15;15;14;13;11	2;2;2;0;1;0	0;0;0;0;0;0	Tropomyosin alpha-1 chain	TPM1	6	16	2	0
H7BZJ3	H7BZJ3	8	1	1	NA	PDIA3	1	8	1	1
H7BZW2;Q6P2H3-4;Q6P2H3-2;Q6P2H3;Q6P2H3-3	H7BZW2;Q6P2H3-4;Q6P2H3-2;Q6P2H3	4;4;4;4;1	4;4;4;4;1	4;4;4;4;1	Centrosomal protein of 85 kDa	CEP85	5	4	4	4
H7C022;Q8WVS4	H7C022;Q8WVS4	1;1	1;1	1;1	WD repeat-containing protein 60	WDR60	2	1	1	1
H7C061;P51965-2;P51965;C9J2P0;B7Z306;P51965-3	H7C061;P51965-2;P51965;C9J2P0;B7Z306;P51965-3	6;6;6;5;5;5	6;6;6;5;5;5	2;2;2;2;2;1	Ubiquitin-conjugating enzyme E2 E1	UBE2E1	6	6	6	2
H7C0Q0;Q9HB20	H7C0Q0;Q9HB20	1;1	1;1	1;1	Pleckstrin homology domain-containing family A member 3	PLEKHA3	2	1	1	1
H7C0S8;O75575	H7C0S8;O75575	2;2	2;2	2;2	DNA-directed RNA polymerase III subunit RPC9	CRCP	2	2	2	2
H7C1J4;Q6BDS2	H7C1J4;Q6BDS2	5;5	5;5	5;5	UHRF1-binding protein 1	UHRF1BP1	2	5	5	5
H7C1N3;O15155;A0A3B3IU16;C9JTT8;Q68DU7;O15155-2	H7C1N3;O15155;A0A3B3IU16;C9JTT8;Q68DU7;O15155-2	2;2;1;1;1;1	2;2;1;1;1;1	2;2;1;1;1;1	BET1 homolog	BET1;DKFZp781C0425	6	2	2	2
H7C1U8;Q9BUR5;Q9BUR5-2;A0A0J9YWW6;G3V1B6;A0A0J9YXS4	H7C1U8;Q9BUR5;Q9BUR5-2	8;8;6;3;3;2	8;8;6;3;3;2	8;8;6;3;3;2	Apolipoprotein O	APOO	6	8	8	8
H7C2Q8;Q99848	H7C2Q8;Q99848	3;3	3;3	3;3	Probable rRNA-processing protein EBP2	EBNA1BP2	2	3	3	3
H7C3P7;P11233;C9JPE8;C9JYR1;F8WEQ6	H7C3P7;P11233;C9JPE8;C9JYR1	4;4;2;2;1	4;4;2;2;1	2;2;0;0;0	Ras-related protein Ral-A	RALA;RALB	5	4	4	2
H7C4I6;H7C5R7;Q9BV10	H7C4I6;H7C5R7;Q9BV10	1;1;1	1;1;1	1;1;1	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase	ALG12	3	1	1	1
H7C504;Q14147	H7C504;Q14147	1;1	1;1	1;1	Probable ATP-dependent RNA helicase DHX34	DHX34	2	1	1	1
H9ZYI9;Q06547-4;Q06547-3;Q06547-2;Q06547;H0YNZ0	H9ZYI9;Q06547-4;Q06547-3;Q06547-2;Q06547	4;4;4;4;4;1	4;4;4;4;4;1	2;2;2;2;2;1	GA-binding protein subunit beta-1	GABPB1	6	4	4	2
I3L0A0;Q13404-1;Q13404-7;Q13404-2;G3V2F7;A0A0A0MSL3;Q13404-6	I3L0A0;Q13404-1;Q13404-7;Q13404-2;G3V2F7;A0A0A0MSL3;Q13404-6	10;9;8;8;6;5;5	10;9;8;8;6;5;5	0;0;0;0;0;0;0	Ubiquitin-conjugating enzyme E2 variant 1	TMEM189-UBE2V1;UBE2V1	7	10	10	0
Q9Y2R5;I3L0E3;E9PE17	Q9Y2R5;I3L0E3;E9PE17	5;5;4	5;5;4	5;5;4	28S ribosomal protein S17, mitochondrial	MRPS17;hCG_1984214	3	5	5	5
I3L0N3;P46459;P46459-2;I3L0L3;I3L2G1;K7EQD6;I3L338;I3L4Q9	I3L0N3;P46459;P46459-2	26;26;23;5;4;4;3;3	26;26;23;5;4;4;3;3	26;26;23;5;4;4;3;3	Vesicle-fusing ATPase	NSF	8	26	26	26
I3L1P8;Q02978;Q02978-2	I3L1P8;Q02978;Q02978-2	13;13;11	13;13;11	13;13;11	Mitochondrial 2-oxoglutarate/malate carrier protein	SLC25A11	3	13	13	13
I3L1Q3;Q8TE02;Q8TE02-4;I3L2A9;I3L2T0;I3L3N8;I3L437;Q8TE02-3;Q8TE02-2;I3NI50;I3L1A8;I3L200	I3L1Q3;Q8TE02;Q8TE02-4;I3L2A9;I3L2T0;I3L3N8;I3L437;Q8TE02-3;Q8TE02-2	3;3;3;2;2;2;2;2;2;1;1;1	3;3;3;2;2;2;2;2;2;1;1;1	3;3;3;2;2;2;2;2;2;1;1;1	Elongator complex protein 5	ELP5	12	3	3	3
I3L1R7;Q99447-2;Q99447-4;Q99447;Q99447-3;I3L1L9;I3L3V9;I3L2Q1;I3L1C4	I3L1R7;Q99447-2;Q99447-4;Q99447;Q99447-3;I3L1L9;I3L3V9;I3L2Q1	4;4;4;4;4;3;2;2;1	4;4;4;4;4;3;2;2;1	4;4;4;4;4;3;2;2;1	Ethanolamine-phosphate cytidylyltransferase	PCYT2	9	4	4	4
I3L543;I3L1Y8;I3L3I6;Q9HBL8;I3L3Z0;I3L0Y6	I3L543;I3L1Y8;I3L3I6;Q9HBL8;I3L3Z0;I3L0Y6	2;2;2;2;1;1	2;2;2;2;1;1	2;2;2;2;1;1	NmrA-like family domain-containing protein 1	NMRAL1	6	2	2	2
J3QS48;I3L295;J3KTK8;J3QQZ4;J3KT75;J3QW43;J3QRD5;O75352-2;O75352;I3L405;I3L261;I3L1D2;J3KSI4;I3L4E0	J3QS48;I3L295;J3KTK8;J3QQZ4;J3KT75;J3QW43;J3QRD5;O75352-2;O75352;I3L405;I3L261;I3L1D2	3;3;3;3;3;3;3;3;3;2;2;2;1;1	3;3;3;3;3;3;3;3;3;2;2;2;1;1	3;3;3;3;3;3;3;3;3;2;2;2;1;1	Mannose-P-dolichol utilization defect 1 protein	MPDU1	14	3	3	3
I3L2B0;I3L318;I3L4B5;I3L350;I3L3A3	I3L2B0	54;6;4;3;2	3;0;0;0;0	3;0;0;0;0	NA	CLUH	5	54	3	3
I3L2C7;P57678;I3L399;I3L4A4;I3L4M4;E7EN12	I3L2C7;P57678	20;19;6;5;3;1	20;19;6;5;3;1	20;19;6;5;3;1	Gem-associated protein 4	GEMIN4	6	20	20	20
I3L3E4;I3L4G8;I3L4A1;Q96FZ7	I3L3E4;I3L4G8;I3L4A1;Q96FZ7	2;2;2;2	2;2;2;2	2;2;2;2	Charged multivesicular body protein 6	CHMP6	4	2	2	2
Q3ZK31;I3L4W4;I3L3N0;I3L4B4;Q9GZT4	Q3ZK31;I3L4W4;I3L3N0;I3L4B4;Q9GZT4	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Serine racemase	SRR	5	1	1	1
I3L448;Q5TC12-3;Q5TC12;Q5TC12-2;H0YEW4;H0YD21;A8MRA7;H0YCA6	I3L448;Q5TC12-3;Q5TC12;Q5TC12-2;H0YEW4;H0YD21;A8MRA7	12;12;12;10;9;9;9;2	12;12;12;10;9;9;9;2	12;12;12;10;9;9;9;2	ATP synthase mitochondrial F1 complex assembly factor 1	ATPAF1	8	12	12	12
