Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
E9PJ42;Q5BJD5-3;Q5BJD5-2;Q5BJD5	E9PJ42;Q5BJD5-3;Q5BJD5-2;Q5BJD5	1;1;1;1	1;1;1;1	1;1;1;1	Transmembrane protein 41B	TMEM41B	4	1	1	1
E9PJ55;Q9NUJ3	E9PJ55;Q9NUJ3	2;1	2;1	2;1	T-complex protein 11-like protein 1	TCP11L1	2	2	2	2
Q9GZQ3;E9PJE4;H0YEQ6	Q9GZQ3;E9PJE4	5;5;2	5;5;2	5;5;2	COMM domain-containing protein 5	COMMD5	3	5	5	5
E9PJM3;Q9UK99-2;Q9UK99;B4E3U2;Q9UK99-3;E9PL46;G3V1E0	E9PJM3;Q9UK99-2;Q9UK99;B4E3U2;Q9UK99-3;E9PL46;G3V1E0	4;4;4;3;3;2;2	4;4;4;3;3;2;2	4;4;4;3;3;2;2	F-box only protein 3	FBXO3	7	4	4	4
E9PJN9	E9PJN9	2	1	1	NA	RPS3	1	2	1	1
E9PK54	E9PK54	20	1	1	NA	HSPA8	1	20	1	1
E9PS17;E9PK59;Q96KG9-3;Q96KG9-4;Q96KG9-2;Q96KG9;Q96KG9-5;Q96KG9-6;E9PPN3;A0A0A0MQX4;H0YCI6;H0YDH0	E9PS17;E9PK59;Q96KG9-3;Q96KG9-4;Q96KG9-2;Q96KG9;Q96KG9-5;Q96KG9-6;E9PPN3	29;29;29;29;29;29;26;26;22;7;6;4	29;29;29;29;29;29;26;26;22;7;6;4	29;29;29;29;29;29;26;26;22;7;6;4	N-terminal kinase-like protein	SCYL1	12	29	29	29
E9PL33;E9PM05;E9PS58;E9PK61;O14681;E9PQN7;A0A087WV44;E9PLB8;O14681-3	E9PL33;E9PM05;E9PS58;E9PK61;O14681;E9PQN7;A0A087WV44;E9PLB8;O14681-3	2;2;2;2;2;1;1;1;1	2;2;2;2;2;1;1;1;1	2;2;2;2;2;1;1;1;1	Etoposide-induced protein 2.4 homolog	EI24	9	2	2	2
E9PK91;Q9NYF8-3;A0A1W2PQ43;E9PK09;E9PQN2;E9PKI6;E9PJA7;H0YF00;H0YF63	E9PK91;Q9NYF8-3;A0A1W2PQ43;E9PK09;E9PQN2;E9PKI6;E9PJA7	25;25;23;23;23;23;13;2;2	1;1;0;0;0;0;0;0;1	1;1;0;0;0;0;0;0;1	Bcl-2-associated transcription factor 1	BCLAF1	9	25	1	1
E9PKF3	E9PKF3	3	1	1	NA	ACAT1	1	3	1	1
H7BXH2;E9PKF6;Q5H9R7-4;Q5H9R7-6;Q5H9R7-2;Q5H9R7;Q5H9R7-5;Q5H9R7-3;H0YEN2;E9PNN8;E9PKG4;H0YDW1;E9PJD8;H0YDK9;H0YEV0	H7BXH2;E9PKF6;Q5H9R7-4;Q5H9R7-6;Q5H9R7-2;Q5H9R7;Q5H9R7-5;Q5H9R7-3;H0YEN2	32;32;32;32;32;32;31;30;19;9;4;3;2;1;1	32;32;32;32;32;32;31;30;19;9;4;3;2;1;1	7;7;7;7;7;7;7;7;1;5;4;0;2;0;0	Serine/threonine-protein phosphatase 6 regulatory subunit 3	PPP6R3	15	32	32	7
E9PKP7;P17480-2;P17480;E9PLT2;E9PMM2;H0YDH7	E9PKP7;P17480-2;P17480	25;25;25;6;5;1	25;25;25;6;5;1	25;25;25;6;5;1	Nucleolar transcription factor 1	UBTF	6	25	25	25
E9PL17;Q92989;Q92989-2;E9PJM4	E9PL17;Q92989;Q92989-2	3;3;2;1	3;3;2;1	3;3;2;1	Polyribonucleotide 5-hydroxyl-kinase Clp1	CLP1	4	3	3	3
E9PL57;F8VSA6;E9PS38;S4R3E9;Q86V88-3;Q86V88-2	E9PL57;F8VSA6;E9PS38;S4R3E9	9;6;6;6;3;3	9;6;6;6;3;3	0;0;0;0;0;0	NA	NEDD8-MDP1;NEDD8	6	9	9	0
E9PS47;E9PLE4;Q9BVG9	E9PS47;E9PLE4;Q9BVG9	3;3;3	3;3;3	3;3;3	Phosphatidylserine synthase 2	PTDSS2	3	3	3	3
E9PLI6;E9PS76;Q8N9N8;E9PNH5;E9PS30;E9PQD0	E9PLI6;E9PS76;Q8N9N8;E9PNH5	7;7;7;4;3;2	7;7;7;4;3;2	7;7;7;4;3;2	Probable RNA-binding protein EIF1AD	EIF1AD	6	7	7	7
E9PLK3;P55786;P55786-2;A6NEC2;A6NEC2-2;H0YDG0;E9PP11;E9PJ74;E9PRQ5;H0YCQ5;E9PJY4;E9PPD4;A6NEC2-3;E9PI82;E9PJF9;E9PPZ2	E9PLK3;P55786;P55786-2	50;50;43;20;10;9;9;6;5;4;3;3;2;1;1;1	50;50;43;20;10;9;9;6;5;4;3;3;2;1;1;1	50;50;43;20;10;9;9;6;5;4;3;3;2;1;1;1	Puromycin-sensitive aminopeptidase	NPEPPS	16	50	50	50
I3L3B4;F8W9H0;E9PLN8;Q9BQB6-3;Q9BQB6-2;Q9BQB6	I3L3B4;F8W9H0;E9PLN8;Q9BQB6-3;Q9BQB6-2;Q9BQB6	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Vitamin K epoxide reductase complex subunit 1	VKORC1	6	1	1	1
E9PLV6;E9PPZ9;O43292-2;O43292;E9PLG8	E9PLV6;E9PPZ9;O43292-2;O43292;E9PLG8	2;2;2;2;1	2;2;2;2;1	2;2;2;2;1	Glycosylphosphatidylinositol anchor attachment 1 protein	GPAA1	5	2	2	2
E9PLX2;E9PQV2;Q8WVD5	E9PLX2;E9PQV2;Q8WVD5	1;1;1	1;1;1	1;1;1	RING finger protein 141	RNF141	3	1	1	1
E9PMS9;J3KN89;E9PM49;P35544	E9PMS9;J3KN89;E9PM49;P35544	2;2;2;2	1;1;1;1	1;1;1;1	Ubiquitin-like protein FUBI	FAU	4	2	1	1
E9PM75;Q9NTG7;E9PK80;E9PN58;Q9NTG7-2;E9PNA0	E9PM75;Q9NTG7;E9PK80;E9PN58;Q9NTG7-2	4;4;3;2;2;1	4;4;3;2;2;1	4;4;3;2;2;1	NAD-dependent protein deacetylase sirtuin-3, mitochondrial	SIRT3	6	4	4	4
E9PM92;O00193;E9PRZ9;E9PQA1	E9PM92;O00193;E9PRZ9	4;4;3;1	4;4;3;1	4;4;3;1	Small acidic protein	C11orf58;SMAP	4	4	4	4
E9PMJ2;J3KP39;Q9BPY3;G3V179;E9PIM5;E9PMW3	E9PMJ2;J3KP39;Q9BPY3;G3V179;E9PIM5	10;10;10;8;5;3	10;10;10;8;5;3	10;10;10;8;5;3	Protein FAM118B	FAM118B	6	10	10	10
E9PMM3;Q9Y5Y5;Q9Y5Y5-2;E9PQW0;E9PLS4;E9PP98	E9PMM3;Q9Y5Y5;Q9Y5Y5-2;E9PQW0;E9PLS4;E9PP98	2;2;2;1;1;1	2;2;2;1;1;1	2;2;2;1;1;1	Peroxisomal membrane protein PEX16	PEX16	6	2	2	2
E9PMQ6;Q00613-2;Q00613;E9PI02;A0A087WXG6;A0A087X1F9	E9PMQ6;Q00613-2;Q00613	5;5;5;2;1;1	5;5;5;2;1;1	5;5;5;2;1;1	Heat shock factor protein 1	HSF1	6	5	5	5
E9PMR6;Q9NZN5-2;Q9NZN5	E9PMR6;Q9NZN5-2;Q9NZN5	20;20;20	20;20;20	20;20;20	Rho guanine nucleotide exchange factor 12	ARHGEF12	3	20	20	20
E9PN89	E9PN89	29	3	3	NA	HSPA8	1	29	3	3
E9PNN3;Q03393	E9PNN3;Q03393	2;2	2;2	2;2	6-pyruvoyl tetrahydrobiopterin synthase	PTS	2	2	2	2
E9PNW8;Q8WVX9	E9PNW8;Q8WVX9	4;4	4;4	4;4	Fatty acyl-CoA reductase 1	FAR1	2	4	4	4
E9PP55;Q96K19-5;Q96K19-3;Q96K19-2;Q96K19	E9PP55;Q96K19-5;Q96K19-3;Q96K19-2;Q96K19	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	E3 ubiquitin-protein ligase RNF170	RNF170	5	2	2	2
E9PPQ1;J3KNE7;Q16890-5;Q16890;E9PNK6;Q16890-4;Q16890-3;Q16890-2;E9PNQ9	E9PPQ1;J3KNE7;Q16890-5;Q16890;E9PNK6;Q16890-4;Q16890-3;Q16890-2;E9PNQ9	4;4;4;4;3;3;3;3;2	4;4;4;4;3;3;3;3;2	4;4;4;4;3;3;3;3;2	Tumor protein D53	TPD52L1	9	4	4	4
E9PQE8;J3KP27;Q9Y296-2;Q9Y296;G3V1A0;G5EA23;E9PKS9;E9PN70	E9PQE8;J3KP27;Q9Y296-2;Q9Y296;G3V1A0;G5EA23;E9PKS9;E9PN70	6;6;6;6;5;5;5;5	6;6;6;6;5;5;5;5	6;6;6;6;5;5;5;5	Trafficking protein particle complex subunit 4	TRAPPC4	8	6	6	6
E9PR30;P62861	E9PR30;P62861	4;3	4;3	3;3	40S ribosomal protein S30	FAU	2	4	4	3
E9PRF4;Q15047-3;Q15047;E9PQM8;X6R732;Q15047-2	E9PRF4;Q15047-3;Q15047	7;7;7;3;2;2	7;7;7;3;2;2	7;7;7;3;2;2	Histone-lysine N-methyltransferase SETDB1	SETDB1	6	7	7	7
E9PRK7;Q8N8R7	E9PRK7;Q8N8R7	2;2	2;2	2;2	ARL14 effector protein	ARL14EP	2	2	2	2
E9PRQ7;Q04323;E9PJ81;Q04323-2;A0A087WTZ5;E9PS08	E9PRQ7;Q04323;E9PJ81;Q04323-2;A0A087WTZ5	13;13;11;11;9;2	13;13;11;11;9;2	13;13;11;11;9;2	UBX domain-containing protein 1	UBXN1	6	13	13	13
E9PRY8;P29692-2;A0A087X1X7;H0YE72;H0YCK7;H0YE58;E9PQC9;E9PQR8;A0A0J9YXU2;E9PKH7;E9PNC8;E9PPY1;E9PJV8;E9PN56;E9PN71;E9PRL0	E9PRY8;P29692-2;A0A087X1X7	19;19;15;8;8;5;2;2;1;1;1;1;1;1;1;1	19;19;15;8;8;5;2;2;1;1;1;1;1;1;1;1	3;3;3;0;1;0;0;2;1;1;1;1;1;1;1;1	Elongation factor 1-delta	EEF1D	16	19	19	3
E9PSA5;Q96Q83;E9PN35;Q96Q83-2;E9PRD0;E9PRJ2;H0YDH4	E9PSA5;Q96Q83	7;7;3;3;2;2;1	7;7;3;3;2;2;1	7;7;3;3;2;2;1	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	ALKBH3	7	7	7	7
E9PSG0;O75052-3;O75052	E9PSG0;O75052-3;O75052	2;2;2	2;2;2	2;2;2	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	NOS1AP	3	2	2	2
E9PSI1;E9PQI5;E9PQ80;E9PJC4;E9PQY7;E9PS99;E9PL78;E9PJM1;E9PMQ9;O15321-2;O15321;H0YI89;E9PNW2;G3V1B9	E9PSI1;E9PQI5;E9PQ80	12;8;8;4;4;4;4;4;4;4;4;3;1;1	12;8;8;4;4;4;4;4;4;4;4;3;1;1	4;0;0;4;4;4;4;4;4;4;4;0;1;1	NA	CHMP4A	14	12	12	4
F1DAL7;F1DAL9;P24468-3;P24468-2;P24468;P10589	F1DAL7;F1DAL9;P24468-3;P24468-2;P24468;P10589	2;2;2;2;2;2	2;2;2;2;2;2	2;2;2;2;2;2	COUP transcription factor 2;COUP transcription factor 1	NR2F1;NR2F2	6	2	2	2
F2Z2E2;Q86VI3	F2Z2E2;Q86VI3	7;7	3;3	3;3	Ras GTPase-activating-like protein IQGAP3	IQGAP3	2	7	3	3
F2Z2T2;P23025	F2Z2T2;P23025	2;2	2;2	2;2	DNA repair protein complementing XP-A cells	XPA	2	2	2	2
F2Z2U4;A0A2R8YFJ4;C9K0N1	F2Z2U4	23;6;2	23;6;2	0;0;0	NA	TRRAP	3	23	23	0
F2Z2W7;Q8IZ69;Q8IZ69-2;H7C100;C9K041	F2Z2W7;Q8IZ69;Q8IZ69-2	10;10;9;3;2	10;10;9;3;2	10;10;9;3;2	tRNA (uracil-5-)-methyltransferase homolog A	TRMT2A	5	10	10	10
Q4TT34;F2Z2X0;O00746;A0A087WVT9;O00746-2;H0Y6J0;A2IDC9	Q4TT34;F2Z2X0;O00746;A0A087WVT9;O00746-2;H0Y6J0	5;5;5;4;4;3;1	5;5;5;4;4;3;1	5;5;5;4;4;3;1	Nucleoside diphosphate kinase;Nucleoside diphosphate kinase, mitochondrial	NME4	7	5	5	5
F2Z2X4;Q9C0E2	F2Z2X4;Q9C0E2	7;7	7;7	7;7	Exportin-4	XPO4	2	7	7	7
G3V3U5;G3V223;F2Z2X9;G3V4G9;P07902	G3V3U5;G3V223;F2Z2X9;G3V4G9;P07902	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Galactose-1-phosphate uridylyltransferase	GALT	5	1	1	1
F2Z2Y8;Q9H0E2;E7EN89;Q9H0E2-2;E9PNS3;E9PP67;E9PQ25	F2Z2Y8;Q9H0E2;E7EN89;Q9H0E2-2	6;6;4;4;2;1;1	6;6;4;4;2;1;1	6;6;4;4;2;1;1	Toll-interacting protein	TOLLIP	7	6	6	6
F2Z354;Q5VZD9;Q9Y619	F2Z354;Q5VZD9;Q9Y619	1;1;1	1;1;1	1;1;1	Mitochondrial ornithine transporter 1	SLC25A15	3	1	1	1
F5GWA4;Q9H3F6-2;Q9H3F6;F8W8I7;F5GY15;F5GWK6;F5H268;B3KVY5;F5H6V0;F5H497;Q9H3F6-3	F5GWA4;Q9H3F6-2;Q9H3F6	3;2;2;1;1;1;1;1;1;1;1	3;2;2;1;1;1;1;1;1;1;1	3;2;2;1;1;1;1;1;1;1;1	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	KCTD10	11	3	3	3
F5GWH5;P61165	F5GWH5;P61165	1;1	1;1	1;1	Transmembrane protein 258	TMEM258	2	1	1	1
F5GWI4;P00813;F5GXW0;F5GYD4	F5GWI4;P00813;F5GXW0	6;6;4;1	6;6;4;1	6;6;4;1	Adenosine deaminase	ADA	4	6	6	6
O00750;F5GWN5;Q5SWA0	O00750;F5GWN5;Q5SWA0	2;2;1	2;2;1	2;2;1	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	PIK3C2B	3	2	2	2
F5GWT4;Q9H4A3-2;Q9H4A3;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7;Q9H4A3-4;F6UYG0;H0YH68;Q96J92-2;Q96J92-3;Q96J92;K7ENT7	F5GWT4;Q9H4A3-2;Q9H4A3;Q9H4A3-5;Q9H4A3-6;Q9H4A3-7;Q9H4A3-4	24;24;24;24;24;24;16;8;2;2;2;2;1	24;24;24;24;24;24;16;8;2;2;2;2;1	20;20;20;20;20;20;15;5;2;0;0;0;0	Serine/threonine-protein kinase WNK1	WNK1	13	24	24	20
F5H5V4;F5GX23;J3KN29;O00233-2;O00233;F5H169;F5H7X1;O00233-3	F5H5V4;F5GX23;J3KN29;O00233-2;O00233;F5H169	9;9;9;9;9;6;4;1	9;9;9;9;9;6;4;1	9;9;9;9;9;6;4;1	26S proteasome non-ATPase regulatory subunit 9	PSMD9	8	9	9	9
H0YKE7;F5GX29;H0YNG9;Q99653;H0YLY7	H0YKE7;F5GX29;H0YNG9;Q99653;H0YLY7	5;5;5;5;4	5;5;5;5;4	5;5;5;5;4	Calcineurin B homologous protein 1	CHP1	5	5	5	5
F5GXB9;F5H2T3;F8WDQ6;F5H3R3;F5H6E4;G5EA39;P60006;P60006-2	F5GXB9;F5H2T3;F8WDQ6;F5H3R3;F5H6E4;G5EA39;P60006;P60006-2	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	Anaphase-promoting complex subunit 15	ANAPC15	8	1	1	1
F5GXD1;Q9P0M2	F5GXD1;Q9P0M2	1;1	1;1	1;1	A-kinase anchor protein 7 isoform gamma	AKAP7	2	1	1	1
F5GXE4;H0Y5C2;O95260-2;O95260;B4DK25;B4E107;Q5SQQ1	F5GXE4;H0Y5C2;O95260-2;O95260;B4DK25;B4E107	5;5;5;5;4;4;2	5;5;5;5;4;4;2	5;5;5;5;4;4;2	Arginyl-tRNA--protein transferase 1	ATE1	7	5	5	5
I3L521;F5GXV8;J3KPD3;F5GY08;Q9Y580;G3V1T9	I3L521;F5GXV8;J3KPD3;F5GY08;Q9Y580	3;3;3;2;2;1	3;3;3;2;2;1	3;3;3;2;2;1	RNA-binding protein 7	RBM7	6	3	3	3
F5GXX5;P61803;F5H895;A0A0B4J239	F5GXX5;P61803;F5H895;A0A0B4J239	3;3;2;2	3;3;2;2	3;3;2;2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	DAD1	4	3	3	3
F5H8G1;F5GY11;F5H1Z6;F5H8H3;Q9Y365;F5GY07;F5GWK5;F5H0V7;H0YGA9;H0YFF3;F5H5A8;H0YGN8;F5H3G8;H0YH17	F5H8G1;F5GY11;F5H1Z6;F5H8H3;Q9Y365;F5GY07;F5GWK5;F5H0V7;H0YGA9;H0YFF3	3;3;3;3;3;2;2;2;2;2;1;1;1;1	3;3;3;3;3;2;2;2;2;2;1;1;1;1	3;3;3;3;3;2;2;2;2;2;1;1;1;1	PCTP-like protein	STARD10	14	3	3	3
F5GYJ5;Q9NX18;F8W679;M0QYN2;F5GXW4;M0R060;F5H5T6	F5GYJ5;Q9NX18;F8W679;M0QYN2;F5GXW4;M0R060;F5H5T6	2;2;1;1;1;1;1	2;2;1;1;1;1;1	2;2;1;1;1;1;1	Succinate dehydrogenase assembly factor 2, mitochondrial	SDHAF2	7	2	2	2
F5GYQ1;P61421;R4GN72;J3QL14;H3BQB4;H3BSG7;H3BQJ1;H3BUQ0;H3BTB5	F5GYQ1;P61421;R4GN72;J3QL14	11;11;8;7;3;3;2;1;1	11;11;8;7;3;3;2;1;1	11;11;8;7;3;3;2;1;1	V-type proton ATPase subunit d 1	ATP6V0D1	9	11	11	11
O14770;O00470;F5GYS8;O00470-2;H0YNY8;O14770-3;O14770-4;O14770-2;U3KPR8;O14770-8;O14770-7;O14770-6;O14770-5;U3KQI2;H0YMX5;H3BLU4;U3KQ95;E9PDC4;H0YMV2;H0YKE5;H0YNA8;H0YKN2;Q99687;Q99687-3;A6NDR6;Q99687-2	O14770;O00470;F5GYS8;O00470-2;H0YNY8;O14770-3;O14770-4;O14770-2;U3KPR8;O14770-8;O14770-7;O14770-6;O14770-5;U3KQI2;H0YMX5	3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1	3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1	3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1	Homeobox protein Meis2;Homeobox protein Meis1	MEIS2;MEIS1	26	3	3	3
F5GZ90;Q9NZJ0;Q9NZJ0-2	F5GZ90;Q9NZJ0	6;6;1	6;6;1	6;6;1	Denticleless protein homolog	DTL	3	6	6	6
F5GZ97;Q9Y3C0;F5GWI9;F5GXZ7;H0YGN0;F5H0A7;F5GXZ4;F5H2P1	F5GZ97;Q9Y3C0;F5GWI9;F5GXZ7;H0YGN0	4;4;3;3;2;1;1;1	4;4;3;3;2;1;1;1	4;4;3;3;2;1;1;1	WASH complex subunit CCDC53	CCDC53	8	4	4	4
F8WCM7;F8VRJ6;F5GZG6;Q9H3S4	F8WCM7;F8VRJ6;F5GZG6;Q9H3S4	1;1;1;1	1;1;1;1	1;1;1;1	Thiamin pyrophosphokinase 1	TPK1	4	1	1	1
F5GZP6;Q86W92-3;Q86W92-4;Q86W92-2;Q86W92;H0YGH8;H0YFE4;A0A0A0MTP2	F5GZP6;Q86W92-3;Q86W92-4;Q86W92-2;Q86W92	6;6;6;6;6;1;1;1	6;6;6;6;6;1;1;1	6;6;6;6;6;1;1;1	Liprin-beta-1	PPFIBP1	8	6	6	6
F5GZS6;P08195;J3KPF3;P08195-3;P08195-4;H0YFS2;F5GZI0;F5GZR9;H0YFX4	F5GZS6;P08195;J3KPF3;P08195-3;P08195-4	25;25;24;24;24;9;5;2;2	25;25;24;24;24;9;5;2;2	2;2;1;1;1;0;0;0;0	4F2 cell-surface antigen heavy chain	SLC3A2	9	25	25	2
F5GZZ0;S4R3T5;F5H5X2;Q6NS38-2;Q6NS38	F5GZZ0;S4R3T5;F5H5X2;Q6NS38-2;Q6NS38	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2	ALKBH2	5	1	1	1
Q49AN9;F5H013;P62308;A8MWD9;C9JVQ0	Q49AN9;F5H013;P62308;A8MWD9	4;4;4;3;1	4;4;4;3;1	4;4;4;3;1	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	5	4	4	4
F5H024;Q9NYS7	F5H024;Q9NYS7	1;1	1;1	1;1	WD repeat and SOCS box-containing protein 2	WSB2	2	1	1	1
F5H039;Q9NQX3;Q9NQX3-2;G3V582;H0YJ30;H0YJR5;G3V4R0;G3V355;G3V4D2	F5H039;Q9NQX3;Q9NQX3-2	25;25;25;12;9;4;2;2;1	25;25;25;12;9;4;2;2;1	25;25;25;12;9;4;2;2;1	Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase	GPHN	9	25	25	25
F5H070;Q9Y4C1;F8WE62;C9J7Q7;C9JC73	F5H070;Q9Y4C1	16;16;7;2;1	14;14;7;2;1	14;14;7;2;1	Lysine-specific demethylase 3A	KDM3A	5	16	14	14
F5H0F9;Q9UJX4;F5H3S5;F5GY68;H0YFB5;Q9UJX4-2;Q9UJX4-3	F5H0F9;Q9UJX4;F5H3S5	4;4;2;1;1;1;1	4;4;2;1;1;1;1	4;4;2;1;1;1;1	Anaphase-promoting complex subunit 5	ANAPC5	7	4	4	4
F5H0M4;Q6P1A2;F5H680;F5H7K7;B7Z3N5;F5GYT3;Q6P1A2-2	F5H0M4;Q6P1A2;F5H680;F5H7K7;B7Z3N5;F5GYT3;Q6P1A2-2	2;2;1;1;1;1;1	2;2;1;1;1;1;1	2;2;1;1;1;1;1	Lysophospholipid acyltransferase 5	LPCAT3	7	2	2	2
F5H0R1;Q9H6E5;H3BRB1;C9JBX0	F5H0R1;Q9H6E5;H3BRB1	8;8;4;1	8;8;4;1	8;8;4;1	Speckle targeted PIP5K1A-regulated poly(A) polymerase	TUT1	4	8	8	8
F5H157;Q15286;Q15286-2	F5H157;Q15286	3;3;1	3;3;1	3;3;1	Ras-related protein Rab-35	RAB35	3	3	3	3
F5H199;Q8IXL7-2;F5H7C4;Q8IXL7	F5H199;Q8IXL7-2;F5H7C4;Q8IXL7	2;2;1;1	2;2;1;1	2;2;1;1	Methionine-R-sulfoxide reductase B3	MSRB3	4	2	2	2
Q07864;F5H1D6;F5H7E4	Q07864;F5H1D6	28;28;3	28;28;3	28;28;3	DNA polymerase epsilon catalytic subunit A;DNA polymerase	POLE	3	28	28	28
F5H1I4;Q8NG08;Q8NG08-2	F5H1I4;Q8NG08;Q8NG08-2	4;4;3	4;4;3	4;4;3	DNA helicase B	HELB	3	4	4	4
F5H1S9	F5H1S9	21	1	1	tRNA pseudouridine synthase	PUS1	1	21	1	1
Q9Y485;F5H269;E7EMZ0	Q9Y485;F5H269	7;7;3	7;7;3	7;7;3	DmX-like protein 1	DMXL1	3	7	7	7
F5H2X7;Q9ULV3-5;Q9ULV3;H0Y5D5;Q9BTG3;Q5SYW2;Q9ULV3-2;Q9ULV3-3;Q9ULV3-4;F6VD24;A0A0U1RQR2	F5H2X7;Q9ULV3-5;Q9ULV3;H0Y5D5;Q9BTG3;Q5SYW2;Q9ULV3-2;Q9ULV3-3;Q9ULV3-4	14;14;14;13;13;13;13;11;11;1;1	14;14;14;13;13;13;13;11;11;1;1	14;14;14;13;13;13;13;11;11;1;1	Cip1-interacting zinc finger protein	CIZ1	11	14	14	14
F5H365;Q15436;Q15436-2;G3V4V1;G3V1W4;G3V3G5;G3V2R6;G3V5X8;G3V4Q2;G3V5K1;A0A2R8YF30	F5H365;Q15436;Q15436-2	37;37;28;7;7;7;7;5;5;3;2	37;37;28;7;7;7;7;5;5;3;2	32;32;26;4;4;4;4;3;3;1;0	Protein transport protein Sec23A	SEC23A	11	37	37	32
F5H3S6;Q6ZVM7-2;Q6ZVM7-3;Q6ZVM7-5;Q6ZVM7;B7Z2U2;Q6ZVM7-4	F5H3S6;Q6ZVM7-2;Q6ZVM7-3;Q6ZVM7-5;Q6ZVM7;B7Z2U2;Q6ZVM7-4	3;3;3;3;3;2;2	3;3;3;3;3;2;2	3;3;3;3;3;2;2	TOM1-like protein 2	TOM1L2	7	3	3	3
F5H442;Q99816;Q99816-2	F5H442;Q99816;Q99816-2	15;15;10	15;15;10	15;15;10	Tumor susceptibility gene 101 protein	TSG101	3	15	15	15
F5H4R6;P55209-2;P55209;F8VY35;H0YIV4;F8W0J6;F8VUX1;H0YH88;F8W020;H0YHC3;F8VXI6;F8VVB5;B7Z4K9	F5H4R6;P55209-2;P55209;F8VY35;H0YIV4;F8W0J6;F8VUX1;H0YH88;F8W020;H0YHC3;F8VXI6	25;25;25;24;23;22;19;15;15;13;13;11;7	25;25;25;24;23;22;19;15;15;13;13;11;7	4;4;4;4;2;4;4;0;4;0;4;4;0	Nucleosome assembly protein 1-like 1	NAP1L1	13	25	25	4
F5H523;Q9P2K6	F5H523;Q9P2K6	1;1	1;1	1;1	Kelch-like protein 42	KLHL42	2	1	1	1
J3KNB8;F5H538;Q9Y6R4-2;Q9Y6R4;F5H4R1;F5H1X6	J3KNB8;F5H538;Q9Y6R4-2;Q9Y6R4;F5H4R1	12;12;12;12;9;2	12;12;12;12;9;2	12;12;12;12;9;2	Mitogen-activated protein kinase kinase kinase 4	MAP3K4	6	12	12	12
F5H5P2;P12694;P12694-2;F5GXU9;H0YH31	F5H5P2;P12694;P12694-2;F5GXU9	14;14;13;8;4	14;14;13;8;4	14;14;13;8;4	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	BCKDHA	5	14	14	14
F5H5R8;P18440	F5H5R8;P18440	1;1	1;1	1;1	Arylamine N-acetyltransferase 1	NAT1	2	1	1	1
F5H5U2;Q8NHQ9;E7EX41;Q8NHQ9-2;F5H2I2;F5H735	F5H5U2;Q8NHQ9;E7EX41	8;8;4;2;1;1	8;8;4;2;1;1	8;8;4;2;1;1	ATP-dependent RNA helicase DDX55	DDX55	6	8	8	8
F5H619;Q86XA9;Q86XA9-2;H7C5W6;H0YIW3;F8VQQ6;Q86XA9-3	F5H619;Q86XA9;Q86XA9-2;H7C5W6;H0YIW3	18;18;16;11;9;2;2	18;18;16;11;9;2;2	18;18;16;11;9;2;2	HEAT repeat-containing protein 5A	HEATR5A	7	18	18	18
F5H669;Q8N684-2;Q8N684;Q8N684-3;F5H6M0;F5H047;J3QT54;C9J286;C9J323;F5H5B7;F5H1W4;F5H2K8;F5H6P5;F5H6A8;F5GXA3;C9JM38	F5H669;Q8N684-2;Q8N684;Q8N684-3;F5H6M0;F5H047;J3QT54	7;7;7;7;5;5;4;2;2;1;1;1;1;1;1;1	7;7;7;7;5;5;4;2;2;1;1;1;1;1;1;1	7;7;7;7;5;5;4;2;2;1;1;1;1;1;1;1	Cleavage and polyadenylation specificity factor subunit 7	CPSF7	16	7	7	7
F5H6E2;O00159-2;O00159-3;O00159;I3L204;I3L3F5;I3L501;I3L3Y6	F5H6E2;O00159-2;O00159-3;O00159	16;16;16;16;2;1;1;1	16;16;16;16;2;1;1;1	16;16;16;16;2;1;1;1	Unconventional myosin-Ic	MYO1C	8	16	16	16
